host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
episimus_zunigaedhj02	30	3	33	1	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Episimus	NA	28	16
epitausa_dilina	1	4	5	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	NA	Epitausa	NA	1	1
epitausa_recessadhj02	31	1	32	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	NA	Epitausa	NA	30	22
eracon_lachesis	50	24	74	39	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Eracon	NA	41	39
erbessa_salvinidhj02	30	1	31	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Dioptinae	NA	Erbessa	NA	25	19
ergavia_carinenta	36	2	38	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Oenochrominae	NA	Ergavia	NA	29	28
erilusa_leucoplagialis	41	4	45	9	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Erilusa	NA	27	20
erinnyis_alope	50	20	70	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Erinnyis	NA	46	35
erinnyis_crameri	69	56	125	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Erinnyis	3	69	44
erinnyis_ello	3	70	73	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Erinnyis	3	3	3
erinnyis_lassauxii	14	1	15	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Erinnyis	NA	12	11
erinnyis_obscura	72	5	77	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Erinnyis	NA	59	35
erocha_mummia	0	3	3	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
erosia_veninotata	126	21	147	0	n	Arthropoda	Insecta	Lepidoptera	Uraniidae	Epipleminae	NA	Erosia	NA	102	74
erynnis_tristis	36	2	38	36	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Erynnis	NA	28	27
ethmia_baliostola	139	5	144	69	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Ethmiinae	NA	Ethmia	NA	128	82
ethmia_lesliesaulae	34	6	40	9	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Ethmiinae	NA	Ethmia	NA	24	12
ethmia_lichyi	119	5	124	50	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Ethmiinae	NA	Ethmia	NA	97	72
ethmia_mnesicosma	60	44	104	29	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Ethmiinae	NA	Ethmia	NA	54	35
ethmia_normgershenzi	18	4	22	1	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Ethmiinae	NA	Ethmia	NA	8	8
ethmia_scythropa	96	7	103	11	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Ethmiinae	NA	Ethmia	NA	96	67
eucereon_aeolum	79	34	113	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	4	53	36
eucereon_aurantiaca	87	8	95	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	NA	72	61
eucereon_erythrolepsis	0	83	83	0	n	NA	NA	NA	NA	NA	NA	NA	4	NA	NA
eucereon_espinoza01	101	2	103	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	NA	95	72
eucereon_latifascia	1	2	3	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	NA	1	1
eucereon_pilati	19	1	20	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	NA	19	19
eucereon_punctatum	11	2	13	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	NA	8	8
eucereon_xanthoperas	11	1	12	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	NA	11	9
eucereon_xanthura	69	5	74	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Eucereon	NA	62	50
euchaetes_antica	5	16	21	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Euchaetes	NA	5	3
euclea_bidiscalis	62	13	75	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Euclea	NA	47	43
euclea_gajentaani	12	2	14	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Euclea	NA	9	9
euclea_mesoamericana	10	11	21	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Euclea	NA	3	2
euclea_mesoamericanadhj04	24	1	25	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Euclea	NA	23	11
euclea_norbadhj02	16	1	17	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Euclea	NA	15	10
euclea_zygia	42	2	44	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Euclea	NA	38	38
euclystis_guerini	65	3	68	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Omopterini	Euclystis	NA	60	45
euclystis_sublignaris	14	1	15	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Omopterini	Euclystis	NA	11	11
eueides_aliphera	5	4	9	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	NA	Eueides	NA	NA	NA
eueides_isabella	19	1	20	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	NA	Eueides	NA	15	15
eueides_procula	29	4	33	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	NA	Eueides	NA	29	18
euglyphis_amathuria	218	12	230	0	n	Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Poecilocampinae	NA	Euglyphis	NA	181	122
euglyphis_amathuriadhj02	0	6	6	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
euglyphis_asapha	41	3	44	0	n	Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Poecilocampinae	NA	Euglyphis	NA	40	35
euglyphis_barda	1	6	7	0	n	Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Poecilocampinae	NA	Euglyphis	NA	1	1
euglyphis_braganzoides	1	1	2	0	n	Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Poecilocampinae	NA	Euglyphis	NA	1	1
euglyphis_deusta	79	130	209	0	n	Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Poecilocampinae	NA	Euglyphis	NA	66	52
euglyphis_janzen01	37	3	40	0	n	Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Poecilocampinae	NA	Euglyphis	NA	1	1
